ResultID,Node2_x,Node2_y,MaxAxialForce,MaxStress,SumOfSxC,MaxSxC
382,0.125,-1.237,1.2248890680208813,1.2248890680208813,310.5568310428456,337.8841084079798
383,0.125,-1.235,1.2255509448509883,1.2255509448509883,310.25910931174093,337.62276598340947
384,0.125,-1.233,1.2262156852277908,1.2262156852277908,309.96171938361715,337.3618442105856
385,0.125,-1.231,1.2268833054336834,1.2268833054336834,309.66466287571075,337.1013450055474
386,0.125,-1.229,1.2275538218658506,1.2275538218658506,309.36794141578514,336.84127029609465
387,0.125,-1.227,1.2282272510372354,1.2282272510372354,309.07155664221676,336.5816220218796
388,0.125,-1.225,1.2289036095775177,1.2289036095775177,308.77551020408157,336.3224021344991
389,0.125,-1.223,1.2295829142341055,1.2295829142341055,308.4798037612429,336.06361259758955
390,0.125,-1.221,1.2302651818731283,1.2302651818731283,308.184438984439,335.80525538691904
391,0.125,-1.219,1.2309504294804525,1.2309504294804525,307.8894175553732,335.54733249048513
392,0.125,-1.217,1.231638674162695,1.231638674162695,307.5947411668036,335.2898459086095
393,0.125,-1.215,1.232329933148253,1.232329933148253,307.30041152263374,335.0327976540358
394,0.125,-1.213,1.2330242237883424,1.2330242237883424,307.0064303380049,334.7761897520272
395,0.125,-1.211,1.2337215635580492,1.2337215635580492,306.7127993393889,334.5200242404663
396,0.125,-1.209,1.2344219700573877,1.2344219700573877,306.4195202646815,334.2643031699547
397,0.125,-1.207,1.2351254610123714,1.2351254610123714,306.1265948632975,334.0090286039137
398,0.125,-1.205,1.2358320542760928,1.2358320542760928,305.8340248962656,333.75420261868663
399,0.125,-1.203,1.2365417678298183,1.2365417678298183,305.54181213632586,333.49982730364206
400,0.125,-1.201,1.237254619784089,1.237254619784089,305.2499583680267,333.2459047612772
401,0.125,-1.199,1.2379706283798355,1.2379706283798355,304.95846538782314,332.99243710732316
402,0.125,-1.197,1.2386898119895058,1.2386898119895058,304.6673350041772,332.7394264708516
403,0.125,-1.195,1.2394121891181962,1.2394121891181962,304.37656903765685,332.48687499438006
404,0.125,-1.193,1.240137778404807,1.240137778404807,304.0861693210394,332.2347848339822
405,0.125,-1.191,1.2408665986231986,1.2408665986231986,303.7961376994122,331.9831581593956
406,0.125,-1.189,1.2415986686833627,1.2415986686833627,303.50647603027744,331.73199715413216
407,0.125,-1.187,1.2423340076326084,1.2423340076326084,303.2171861836562,331.48130401559
408,0.125,-1.185,1.2430726346567569,1.2430726346567569,302.92827004219413,331.2310809551653
409,0.125,-1.183,1.2438145690813498,1.2438145690813498,302.63972950126794,330.98133019836604
410,0.125,-1.181,1.2445598303728707,1.2445598303728707,302.351566469094,330.7320539849269
411,0.125,-1.179,1.2453084381399755,1.2453084381399755,302.0637828668363,330.48325456892485
412,0.125,-1.177,1.2460604121347418,1.2460604121347418,301.7763806287171,330.2349342188962
413,0.125,-1.175,1.2468157722539246,1.2468157722539246,301.4893617021277,329.98709521795496
414,0.125,-1.173,1.2475745385402277,1.2475745385402277,301.20272804774083,329.73973986391115
415,0.125,-1.171,1.2483367311835911,1.2483367311835911,300.9164816396243,329.4928704693932
416,0.125,-1.169,1.249102370522485,1.249102370522485,300.6306244653549,329.24648936196735
417,0.125,-1.167,1.2498714770452257,1.2498714770452257,300.3451585261355,329.0005988842633
418,0.125,-1.165,1.250644071391295,1.250644071391295,300.0600858369099,328.7552013940956
419,0.125,-1.163,1.2514201743526834,1.2514201743526834,299.7754084264832,328.510299264591
420,0.125,-1.161,1.2521998068752405,1.2521998068752405,299.4911283376399,328.2658948843148
421,0.125,-1.159,1.252982990060043,1.252982990060043,299.20724762726485,328.02199065739836
422,0.125,-1.157,1.253769745164774,1.253769745164774,298.92376836646497,327.77858900366874
423,0.125,-1.155,1.254560093605118,1.254560093605118,298.6406926406926,327.535692358779
424,0.125,-1.153,1.2553540569561747,1.2553540569561747,298.35802254986993,327.29330317434085
425,0.125,-1.151,1.256151656953879,1.256151656953879,298.0757602085143,327.05142391805725
426,0.125,-1.149,1.2569529154964432,1.2569529154964432,297.7939077458659,326.81005707385725
427,0.125,-1.147,1.2577578546458128,1.2577578546458128,297.51246730601565,326.56920514203244
428,0.125,-1.145,1.258566496629133,1.258566496629133,297.23144104803487,326.32887063937335
429,0.125,-1.143,1.2593788638402383,1.2593788638402383,296.9508311461067,326.08905609930963
430,0.125,-1.141,1.2601949788411517,1.2601949788411517,296.6706397896582,325.8497640720492
431,0.125,-1.139,1.2610148643636028,1.2610148643636028,296.39086918349426,325.61099712472054
432,0.125,-1.137,1.2618385433105617,1.2618385433105617,296.1115215479332,325.3727578415161
433,0.125,-1.135,1.2626660387577866,1.2626660387577866,295.83259911894265,325.1350488238361
434,0.125,-1.133,1.2634973739553934,1.2634973739553934,295.55410414827895,324.8978726904357
435,0.125,-1.131,1.2643325723294336,1.2643325723294336,295.27603890362514,324.6612320775717
436,0.125,-1.129,1.2651716574834997,1.2651716574834997,294.99840566873337,324.4251296391527
437,0.125,-1.127,1.2660146532003385,1.2660146532003385,294.721206743567,324.18956804688963
438,0.125,-1.125,1.2668615834434869,1.2668615834434869,294.4444444444445,323.9545499904479
439,0.125,-1.123,1.2677124723589208,1.2677124723589208,294.16812110418516,323.72007817760095
440,0.125,-1.121,1.2685673442767298,1.2685673442767298,293.892239072257,323.48615533438726
441,0.125,-1.119,1.2694262237127987,1.2694262237127987,293.616800714924,323.25278420526564
442,0.125,-1.117,1.2702891353705186,1.2702891353705186,293.3418084153984,323.01996755327605
443,0.125,-1.115,1.2711561041425066,1.2711561041425066,293.067264573991,322.7877081601987
444,0.125,-1.113,1.2720271551123514,1.2720271551123514,292.79317160826594,322.5560088267172
445,0.125,-1.111,1.2729023135563735,1.2729023135563735,292.5195319531953,322.32487237258164
446,0.125,-1.109,1.2737816049454072,1.2737816049454072,292.24634806131655,322.0943016367757
